Description,AssemblyDescription
1-IN L/T FLEX PVC,UNK CONDUIT - FLEX
"3/4"" LIQUID METAL FLEXABLE CON","3/4"" CONDUIT - FLEX"
"1"" GRC","1"" CONDUIT - GRC"
"4"" PVC Conduit, 20', Schedule ","4"" CONDUIT - PVC"
1 1/4”Pvc Conduit,"1-1/4"" CONDUIT - PVC"
1'' PVC Conduit,UNK CONDUIT - PVC
"3"" EMT PIPE","3"" CONDUIT - EMT"
6x6x6 pvc weatherproof junctio,"6"" CONDUIT - PVC"
"2"" Rigid (GRC)","2"" CONDUIT - GRC"
"4"" IMC PVC Coated","4"" CONDUIT - PVC"
Arlington 5010AST MC/AC/Flex C,UNK CONDUIT - FLEX
3/4IN STEEL FLEX UL COND 100FT,"3/4"" CONDUIT - FLEX"
"2 1/2""  PVC SCH 40 (20' LENGT","2-1/2"" CONDUIT - PVC"
"1"" LiquidTight Conduit","1"" CONDUIT - FLEX"
 3/4 ENT,"3/4"" UNK"
"2"" Greenfield Flex","2"" CONDUIT - FLEX"
"[PVC] 1"", Schedule 80, 10' St","1"" CONDUIT - PVC"
2 1/2” Schedule 40 Pvc,"2-1/2"" CONDUIT - PVC"
"PVC 3"" SCH 40 CONDUIT","3"" CONDUIT - PVC"
"1 1/2"" PVC Conduit Schedule 40","1-1/2"" CONDUIT - PVC"
1 1/2 SCH 80 PVC,"1-1/2"" CONDUIT - PVC"
"Blue ENT, 3/4"", 1000' reel","3/4"" UNK"
Allied Tube & Conduit SCH40 Ri,UNK UNK
"Cor-Line 3/4"" ENT #012009 100","3/4"" CONDUIT - ENT"
"2-1/2"" PVC Conduit, 10', Sche","2-1/2"" CONDUIT - PVC"
"2"" pvc  sch 40","2"" CONDUIT - PVC"
"3/4"" sch. 40 PVC","3/4"" CONDUIT - PVC"
1” Pvc Ma,"1"" CONDUIT - PVC"
1” Carflex,"1"" CONDUIT - FLEX"
"EMT Conduit, 3"", Galvanized St","3"" CONDUIT - EMT"
"4"" EMT conduit","4"" CONDUIT - EMT"
1 1/2” pvc conduit Schedule 40,"1-1/2"" CONDUIT - PVC"
